"data.province","NCPO","antiNCPO","totalFiltered","data.total"
"กระบี่",186581,60492,247073,254935
"กรุงเทพมหานคร",1406072,1684519,3090591,3102280
"กาญจนบุรี",299721,133458,433179,439524
"กาฬสินธุ์",198470,298768,497238,516212
"กำแพงเพชร",238453,122242,360695,365064
"ขอนแก่น",324644,625490,950134,971071
"จันทบุรี",171562,116265,287827,291887
"ฉะเชิงเทรา",211224,183969,395193,401008
"ชลบุรี",447904,345557,793461,800871
"ชัยนาท",113198,71952,185150,187066
"ชัยภูมิ",267913,306974,574887,587556
"ชุมพร",234884,46769,281653,288091
"เชียงราย",174110,486095,660205,674039
"เชียงใหม่",300177,672951,973128,989871
"ตรัง",292788,60865,353653,365802
"ตราด",67887,48603,116490,117884
"ตาก",169512,92873,262385,266329
"นครนายก",58881,89367,148248,148497
"นครปฐม",317302,211170,528472,532639
"นครพนม",153761,192377,346138,358086
"นครราชสีมา",883936,528991,1412927,1431509
"นครศรีธรรมราช",663031,118091,781122,802173
"นครสวรรค์",324192,236601,560793,567912
"นนทบุรี",321627,396130,717757,722021
"นราธิวาส",229767,162256,392023,399250
"น่าน",108199,175810,284009,288954
"บึงกาฬ",86888,117078,203966,207672
"บุรีรัมย์",520255,250647,770902,783078
"ปทุมธานี",250746,386883,637629,639514
"ประจวบคีรีขันธ์",187057,100584,287641,289971
"ปราจีนบุรี",173974,106548,280522,283078
"ปัตตานี",213112,138495,351607,356954
"พระนครศรีอยุธยา",227499,240873,468372,473462
"พะเยา",135317,150615,285932,289938
"พังงา",104140,37276,141416,144793
"พัทลุง",266040,44298,310338,319909
"พิจิตร",173563,96454,270017,274628
"พิษณุโลก",241438,217223,458661,466174
"เพชรบุรี",225356,55907,281263,286049
"เพชรบูรณ์",315482,175735,491217,499477
"แพร่",107569,152209,259778,261429
"ภูเก็ต",124000,67386,191386,196679
"มหาสารคาม",191154,322157,513311,524971
"มุกดาหาร",57588,125811,183399,188309
"แม่ฮ่องสอน",92213,38578,130791,133617
"ยโสธร",115310,167317,282627,287664
"ยะลา",130177,132643,262820,268522
"ร้อยเอ็ด",238673,432439,671112,682038
"ระนอง",80538,12288,92826,94778
"ระยอง",198222,172621,370843,373977
"ราชบุรี",385528,114686,500214,504126
"ลพบุรี",221537,178186,399723,409236
"ลำปาง",157718,295049,452767,459536
"ลำพูน",83596,184500,268096,271300
"เลย",161119,195938,357057,363771
"ศรีสะเกษ",311683,425445,737128,748611
"สกลนคร",210838,342635,553473,567755
"สงขลา",597767,158574,756341,773145
"สตูล",131709,42928,174637,176975
"สมุทรปราการ",327472,411035,738507,742780
"สมุทรสงคราม",70024,40295,110319,112086
"สมุทรสาคร",180095,118378,298473,301428
"สระแก้ว",176438,119982,296420,297169
"สระบุรี",193361,167984,361345,368065
"สิงห์บุรี",59131,65375,124506,125186
"สุโขทัย",201417,125968,327385,330372
"สุพรรณบุรี",351716,128257,479973,485600
"สุราษฎร์ธานี",443174,113409,556583,575188
"สุรินทร์",337766,331019,668785,681624
"หนองคาย",73838,172523,246361,250224
"หนองบัวลำภู",71919,173865,245784,251805
"อ่างทอง",86157,73217,159374,160448
"อำนาจเจริญ",113996,84891,198887,201049
"อุดรธานี",224362,529103,753465,768626
"อุตรดิตถ์",94759,154439,249198,252279
"อุทัยธานี",141009,36258,177267,178813
"อุบลราชธานี",460490,485160,945650,959636
